95098	HR	1
95098	SR	1
95098	UT	2
95099	MA	1
95099	UT	2
95103	DR	1
95106	DR	1
95109	DR	1
95113	MA	1
95113	UT	2
95117	HR	1
95117	SR	1
95117	UT	2
95118	MA	1
95118	UT	2
95122	DR	1
95126	DR	1
95126	UT	2
95127	DR	1
95127	UT	2
95128	DR	1
95128	UT	2
95131	HR	1
95131	SR	1
95131	UT	2
95132	MA	1
95132	UT	2
95136	DR	1
95139	DR	1
95142	DR	1
95145	DR	1
95148	DR	1
95157	DR	1
95166	DR	1
95169	DR	1
95175	DR	1
95178	DR	1
95181	DR	1
95187	DR	1
95190	DR	1
95193	DR	1
95196	DR	1
95199	DR	1
95202	DR	1
95205	DR	1
95208	DR	1
95211	DR	1
95217	DR	1
95220	DR	1
95223	DR	1
95226	DR	1
95229	DR	1
95232	DR	1
95235	HR	1
95235	SR	1
95235	UT	2
95236	MA	1
95236	UT	2
95240	DR	1
95243	HR	1
95243	SR	1
95243	UT	2
95244	MA	1
95244	UT	2
95249	MA	1
95249	UT	2
95253	DR	1
95256	HR	1
95256	SR	1
95256	UT	2
95257	MA	1
95257	UT	2
95261	DR	1
95264	HR	1
95264	SR	1
95264	UT	2
95265	MA	1
95265	UT	2
95269	HR	1
95269	SR	1
95269	UT	2
95270	MA	1
95270	UT	2
95274	HR	1
95274	SR	1
95274	UT	2
95275	MA	1
95275	UT	2
95279	DR	1
95282	DR	1
95286	DR	1
95286	UT	2
95287	DR	1
95287	UT	2
95288	DR	1
95288	UT	2
95291	DR	1
95294	DR	1
95297	HR	1
95297	SR	1
95297	UT	2
95298	MA	1
95298	UT	2
95302	HR	1
95302	SR	1
95302	UT	2
95303	MA	1
95303	UT	2
95307	HR	1
95307	SR	1
95307	UT	2
95308	MA	1
95308	UT	2
95312	DR	1
95315	DR	1
95318	DR	1
95321	DR	1
95324	DR	1
95327	DR	1
95330	HR	1
95330	SR	1
95330	UT	2
95331	MA	1
95331	UT	2
95335	DR	1
95338	DR	1
95342	OQ	1
95343	MA	1
95343	UT	2
95344	UT	1
95347	DR	1
95350	HR	1
95350	SR	1
95350	UT	2
95351	MA	1
95351	UT	2
95355	DR	1
95358	HR	1
95358	SR	1
95358	UT	2
95359	MA	1
95359	UT	2
95363	HR	1
95363	SR	1
95363	UT	2
95364	MA	1
95364	UT	2
95368	DR	1
95372	DR	1
95372	UT	2
95373	DR	1
95373	UT	2
95374	DR	1
95374	UT	2
95377	UT	1
95383	UT	1
95387	HR	1
95387	SR	1
95387	UT	2
95394	HR	1
95394	SR	1
95394	UT	2
95398	HR	1
95398	SR	1
95398	UT	2
95405	HR	1
95405	SR	1
95405	UT	2
95409	HR	1
95409	SR	1
95409	UT	2
95413	HR	1
95413	SR	1
95413	UT	2
95425	DR	1
95428	DR	1
95431	DR	1
95435	CD	1
95435	OQ	1
95438	SR	1
95441	SR	1
95444	SR	1
95447	SR	1
95558	OQ	1
95558	SR	1
95559	OQ	1
95559	SR	1
95560	OQ	1
95560	UT	1
95561	MA	1
95561	OQ	1
95562	MA	1
95562	OQ	1
95563	MA	1
95563	OQ	1
95566	OQ	1
95566	SR	1
95619	OQ	1
95619	SR	1
95620	OQ	1
95620	SR	1
95621	OQ	1
95621	UT	1
95622	MA	1
95622	OQ	1
95623	MA	1
95623	OQ	1
95624	MA	1
95624	OQ	1
95627	OQ	1
95627	SR	1
95673	OQ	1
95673	SR	1
95674	OQ	1
95674	UT	1
95675	MA	1
95675	OQ	1
95676	MA	1
95676	OQ	1
95677	MA	1
95677	OQ	1
95680	OQ	1
95680	SR	1
95685	OQ	1
95685	SR	1
95686	OQ	1
95686	SR	1
95687	OQ	1
95687	UT	1
95688	MA	1
95688	OQ	1
95689	MA	1
95689	OQ	1
95690	MA	1
95690	OQ	1
95693	OQ	1
95693	SR	1
95714	OQ	1
95714	SR	1
95715	OQ	1
